"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1055","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:36:42,FALSE,NA,"1250432867177353216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BransenB17",105,TRUE,FALSE,NA,NA
"1056","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:35:57,FALSE,NA,"1250432680967032836",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LosGeez",105,TRUE,FALSE,NA,NA
"1057","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:35:46,FALSE,NA,"1250432633424597000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muacchi1",104,TRUE,FALSE,NA,NA
"1058","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:34:38,FALSE,NA,"1250432348497137671",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carpenkinda428",105,TRUE,FALSE,NA,NA
"1059","I watched #OldBoy, the American remake of the Korean film of the same name. Generally, it never surpassed the origi… https://t.co/RPM3szE3Sa",FALSE,1,NA,2020-04-15 14:34:37,TRUE,NA,"1250432344223141888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jovianreviews",0,FALSE,FALSE,NA,NA
"1060","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:33:05,FALSE,NA,"1250431960687628289",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IFCMidnight",105,TRUE,FALSE,NA,NA
"1061","RT @hulu: #BongHive rise up. 

#Parasite is now the #1 independent or international film to ever run on Hulu. 👏 https://t.co/XFAEH9JT2O",FALSE,0,NA,2020-04-15 14:30:44,FALSE,NA,"1250431365952110593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taekook81720714",207,TRUE,FALSE,NA,NA
"1062","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:28:16,FALSE,NA,"1250430746121998343",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sean_Temple",105,TRUE,FALSE,NA,NA
"1063","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:27:16,FALSE,NA,"1250430492869947396",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shitthefuckuup",104,TRUE,FALSE,NA,NA
"1064","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:25:53,FALSE,NA,"1250430146261073926",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bettercallsant",105,TRUE,FALSE,NA,NA
"1065","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:23:56,FALSE,NA,"1250429655762366467",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SawyerStudios",104,TRUE,FALSE,NA,NA
"1066","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:22:31,FALSE,NA,"1250429301083623425",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ac122192",104,TRUE,FALSE,NA,NA
"1067","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:21:20,FALSE,NA,"1250429002998665230",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mary_n_jane",104,TRUE,FALSE,NA,NA
"1068","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:21:19,FALSE,NA,"1250428999534170114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cimorenka",105,TRUE,FALSE,NA,NA
"1069","RT @IndieWire: #Parasite Has Monster Streaming Debut and Sets All-Time Hulu Records in One Week https://t.co/xprmc4eFTY https://t.co/sXJIZu…",FALSE,0,NA,2020-04-15 14:20:50,FALSE,NA,"1250428875303084035",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Susheel60288031",104,TRUE,FALSE,NA,NA
"1070","RT @ZSharf: This is astonishing: #Parasite has more streams on @hulu in one week than films like ""A Quiet Place"" have in their entire runs…",FALSE,0,NA,2020-04-15 14:20:36,FALSE,NA,"1250428819200020482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Makofury",105,TRUE,FALSE,NA,NA
